EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,20.0,2026-06-29T10:39:24.631152+00:00
constructor,Mercedes,mercedes,23.0,2026-06-29T10:39:24.631152+00:00
constructor,Ferrari,ferrari,20.5,2026-06-29T10:39:24.631152+00:00
constructor,Alpine,alpine,12.0,2026-06-29T10:39:24.631152+00:00
constructor,McLaren,mclaren,21.0,2026-06-29T10:39:24.631152+00:00
constructor,Aston Martin,aston_martin,5.0,2026-06-29T10:39:24.631152+00:00
constructor,Audi,audi,5.5,2026-06-29T10:39:24.631152+00:00
constructor,Racing Bulls,racing_bulls,10.5,2026-06-29T10:39:24.631152+00:00
constructor,Williams,williams,7.0,2026-06-29T10:39:24.631152+00:00
constructor,Haas,haas,7.5,2026-06-29T10:39:24.631152+00:00
constructor,Cadillac,cadillac,4.5,2026-06-29T10:39:24.631152+00:00
